timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613809739194,34,GET Activties,200,OK,Endurance Test Suite 1-9,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,34,0,0
1613809739191,39,GET Activties,200,OK,Endurance Test Suite 1-14,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,39,0,0
1613809739193,38,GET Activties,200,OK,Endurance Test Suite 1-29,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,38,0,0
1613809739195,36,GET Activties,200,OK,Endurance Test Suite 1-12,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,36,0,0
1613809739191,40,GET Activties,200,OK,Endurance Test Suite 1-10,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,40,0,0
1613809739194,38,GET Activties,200,OK,Endurance Test Suite 1-16,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,38,0,0
1613809739194,39,GET Activties,200,OK,Endurance Test Suite 1-21,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,39,0,0
1613809739195,45,GET Activties,200,OK,Endurance Test Suite 1-4,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,45,0,0
1613809739195,46,GET Activties,200,OK,Endurance Test Suite 1-25,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,46,0,0
1613809739195,47,GET Activties,200,OK,Endurance Test Suite 1-30,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,47,0,0
1613809739195,47,GET Activties,200,OK,Endurance Test Suite 1-15,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,47,0,0
1613809739196,47,GET Activties,200,OK,Endurance Test Suite 1-11,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,47,0,0
1613809739196,48,GET Activties,200,OK,Endurance Test Suite 1-19,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,47,0,0
1613809739196,48,GET Activties,200,OK,Endurance Test Suite 1-3,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,48,0,0
1613809739197,47,GET Activties,200,OK,Endurance Test Suite 1-18,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,47,0,0
1613809739197,48,GET Activties,200,OK,Endurance Test Suite 1-26,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,48,0,0
1613809739196,49,GET Activties,200,OK,Endurance Test Suite 1-8,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,49,0,0
1613809739196,49,GET Activties,200,OK,Endurance Test Suite 1-22,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,49,0,0
1613809739197,48,GET Activties,200,OK,Endurance Test Suite 1-20,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,48,0,0
1613809739197,48,GET Activties,200,OK,Endurance Test Suite 1-13,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,48,0,0
1613809739196,56,GET Activties,200,OK,Endurance Test Suite 1-24,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,56,0,0
1613809739525,31,GET Activties,200,OK,Endurance Test Suite 1-17,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,31,0,0
1613809739526,31,GET Activties,200,OK,Endurance Test Suite 1-5,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,31,0,0
1613809739530,34,GET Activties,200,OK,Endurance Test Suite 1-9,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,34,0,0
1613809739542,28,GET Activties,200,OK,Endurance Test Suite 1-30,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,28,0,0
1613809739534,36,GET Activties,200,OK,Endurance Test Suite 1-21,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,36,0,0
1613809739531,32,GET Activties,200,OK,Endurance Test Suite 1-12,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,32,0,0
1613809739540,30,GET Activties,200,OK,Endurance Test Suite 1-4,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,30,0,0
1613809739531,32,GET Activties,200,OK,Endurance Test Suite 1-10,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,32,0,0
1613809739531,32,GET Activties,200,OK,Endurance Test Suite 1-14,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,32,0,0
1613809739532,30,GET Activties,200,OK,Endurance Test Suite 1-16,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,30,0,0
1613809739529,34,GET Activties,200,OK,Endurance Test Suite 1-6,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,34,0,0
1613809739531,31,GET Activties,200,OK,Endurance Test Suite 1-29,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,31,0,0
1613809739529,33,GET Activties,200,OK,Endurance Test Suite 1-28,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,33,0,0
1613809739527,34,GET Activties,200,OK,Endurance Test Suite 1-2,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,34,0,0
1613809739529,32,GET Activties,200,OK,Endurance Test Suite 1-1,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,32,0,0
1613809739529,32,GET Activties,200,OK,Endurance Test Suite 1-7,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,32,0,0
1613809739526,35,GET Activties,200,OK,Endurance Test Suite 1-23,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,35,0,0
1613809739526,34,GET Activties,200,OK,Endurance Test Suite 1-27,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,34,0,0
1613809739545,30,GET Activties,200,OK,Endurance Test Suite 1-18,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,30,0,0
1613809739545,30,GET Activties,200,OK,Endurance Test Suite 1-11,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,30,0,0
1613809739543,32,GET Activties,200,OK,Endurance Test Suite 1-15,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,32,0,0
