timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613809273112,141,GET Activties,200,OK,Stress Test Suite 1-29,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,141,0,112
1613809273114,142,GET Activties,200,OK,Stress Test Suite 1-23,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,142,0,111
1613809273113,144,GET Activties,200,OK,Stress Test Suite 1-10,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,144,0,114
1613809273112,146,GET Activties,200,OK,Stress Test Suite 1-24,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,146,0,116
1613809273118,140,GET Activties,200,OK,Stress Test Suite 1-15,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,140,0,111
1613809273112,146,GET Activties,200,OK,Stress Test Suite 1-25,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,146,0,117
1613809273115,159,GET Activties,200,OK,Stress Test Suite 1-5,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,159,0,127
1613809273119,155,GET Activties,200,OK,Stress Test Suite 1-13,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,155,0,123
1613809273128,149,GET Activties,200,OK,Stress Test Suite 1-6,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,149,0,114
1613809273112,165,GET Activties,200,OK,Stress Test Suite 1-21,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,165,0,131
1613809273121,157,GET Activties,200,OK,Stress Test Suite 1-18,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,157,0,122
1613809273122,158,GET Activties,200,OK,Stress Test Suite 1-30,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,158,0,120
1613809273121,160,GET Activties,200,OK,Stress Test Suite 1-4,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,160,0,121
1613809273114,167,GET Activties,200,OK,Stress Test Suite 1-1,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,166,0,132
1613809273121,160,GET Activties,200,OK,Stress Test Suite 1-26,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,160,0,123
1613809273121,160,GET Activties,200,OK,Stress Test Suite 1-14,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,160,0,122
1613809273120,163,GET Activties,200,OK,Stress Test Suite 1-2,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,163,0,124
1613809273118,165,GET Activties,200,OK,Stress Test Suite 1-28,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,165,0,127
1613809273114,169,GET Activties,200,OK,Stress Test Suite 1-20,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,169,0,132
1613809273114,170,GET Activties,200,OK,Stress Test Suite 1-12,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,170,0,129
1613809273243,128,GET Activties,200,OK,Stress Test Suite 1-3,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,128,0,98
1613809273243,129,GET Activties,200,OK,Stress Test Suite 1-16,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,129,0,97
1613809273250,123,GET Activties,200,OK,Stress Test Suite 1-19,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,123,0,94
1613809273247,129,GET Activties,200,OK,Stress Test Suite 1-9,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,129,0,101
1613809273251,129,GET Activties,200,OK,Stress Test Suite 1-7,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,129,0,99
1613809273249,131,GET Activties,200,OK,Stress Test Suite 1-22,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,131,0,102
1613809273243,147,GET Activties,200,OK,Stress Test Suite 1-17,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,147,0,112
1613809273251,143,GET Activties,200,OK,Stress Test Suite 1-11,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,143,0,115
1613809273251,143,GET Activties,200,OK,Stress Test Suite 1-27,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,143,0,114
1613809273258,137,GET Activties,200,OK,Stress Test Suite 1-15,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,137,0,108
1613809273258,137,GET Activties,200,OK,Stress Test Suite 1-24,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,137,0,109
1613809273253,142,GET Activties,200,OK,Stress Test Suite 1-29,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,142,0,114
1613809273257,138,GET Activties,200,OK,Stress Test Suite 1-23,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,138,0,109
1613809273251,145,GET Activties,200,OK,Stress Test Suite 1-8,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,145,0,116
1613809273260,136,GET Activties,200,OK,Stress Test Suite 1-25,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/1,136,0,108
1613809273257,139,GET Activties,200,OK,Stress Test Suite 1-10,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,139,0,111
1613809273274,127,GET Activties,200,OK,Stress Test Suite 1-13,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/2,127,0,95
1613809273274,128,GET Activties,200,OK,Stress Test Suite 1-5,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/3,128,0,100
1613809273277,126,GET Activties,200,OK,Stress Test Suite 1-21,text,true,,352,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/5,126,0,97
1613809273277,133,GET Activties,200,OK,Stress Test Suite 1-6,text,true,,351,153,30,30,https://web-appservice.azurewebsites.net/api/Activities/4,133,0,104
